timestamp,open,high,low,close,volume
2018-06-13,7.7500,7.8199,7.6800,7.7150,2181720
2018-06-12,7.6200,7.8100,7.5800,7.6900,6773767
2018-06-11,7.6500,7.6500,7.4900,7.5700,6587678
2018-06-08,7.6000,7.7100,7.5500,7.6400,4510160
2018-06-07,7.7900,7.8000,7.3300,7.6200,9671904
2018-06-06,7.5500,7.8850,7.5500,7.8100,7240129
2018-06-05,7.5000,7.6900,7.4600,7.5500,7770044
2018-06-04,7.4600,7.5300,7.3500,7.5000,4778951
2018-06-01,7.2200,7.4900,7.1950,7.4500,6525887
2018-05-31,7.2100,7.3200,7.1800,7.2200,6598523
2018-05-30,7.0000,7.2500,6.9400,7.2000,14142036
2018-05-29,6.9900,7.0800,6.9150,6.9900,14011955
2018-05-25,7.3600,7.3890,6.8600,7.0100,14805692
2018-05-24,7.4000,7.4700,7.2950,7.3900,3799961
2018-05-23,7.2300,7.4200,7.2000,7.4000,3891441
2018-05-22,7.3400,7.4500,7.2250,7.2700,4484260
2018-05-21,7.4700,7.4900,7.2050,7.3200,12077351
2018-05-18,7.4100,7.4600,7.2700,7.3900,4346928
2018-05-17,7.5700,7.6100,7.2650,7.4100,8568131
2018-05-16,7.2100,7.7100,7.1800,7.6200,9784758
2018-05-15,7.2000,7.2700,7.0700,7.2500,6906354
2018-05-14,7.2400,7.3150,7.1300,7.2800,6931656
2018-05-11,7.1600,7.3963,7.1500,7.2600,9446434
2018-05-10,7.5900,7.6100,7.0900,7.1600,11262983
2018-05-09,7.1800,7.5400,7.1200,7.5000,12961220
2018-05-08,7.1300,7.3200,7.0900,7.1700,11400468
2018-05-07,6.8800,7.2400,6.8500,7.1700,19273708
2018-05-04,6.6000,7.2500,6.4000,6.8900,46915500
2018-05-03,5.5900,5.7900,5.4900,5.7500,12410305
2018-05-02,5.5000,5.6700,5.4800,5.6300,5828489
2018-05-01,5.6000,5.6900,5.3700,5.5500,5231349
2018-04-30,5.4700,5.6700,5.4699,5.6100,7321596
2018-04-27,5.4700,5.5600,5.3100,5.4700,6592146
2018-04-26,5.2300,5.4950,5.1634,5.4500,7232034
2018-04-25,5.2700,5.2800,5.0900,5.2200,6773587
2018-04-24,5.2800,5.3400,5.1685,5.2500,5711017
2018-04-23,5.3100,5.3600,5.1900,5.2700,4851744
2018-04-20,5.3100,5.4000,5.2700,5.3100,6633289
2018-04-19,5.2800,5.3800,5.2050,5.3400,8966549
2018-04-18,5.1500,5.3300,5.1100,5.3000,6783728
2018-04-17,5.1900,5.3000,5.1200,5.1300,5999857
2018-04-16,5.0900,5.1850,5.0492,5.1300,4251831
2018-04-13,5.0200,5.1500,4.9550,5.1000,5854005
2018-04-12,4.9700,5.1500,4.9300,5.0100,6742067
2018-04-11,4.7900,5.0800,4.7900,4.9300,5588158
2018-04-10,4.7800,4.9300,4.7600,4.7900,8804909
2018-04-09,4.7700,4.8700,4.6800,4.7400,6573836
2018-04-06,4.8000,4.9500,4.6700,4.7700,6175272
2018-04-05,4.7700,4.8800,4.6900,4.8600,6865426
2018-04-04,4.6000,4.8100,4.5850,4.7300,6956434
2018-04-03,4.8100,4.8500,4.5900,4.6400,14200578
2018-04-02,5.0300,5.1100,4.7800,4.7900,7593404
2018-03-29,4.9800,5.0600,4.8300,5.0300,6331798
2018-03-28,5.1800,5.2000,4.9100,4.9600,10113355
2018-03-27,5.3300,5.4300,5.1300,5.2100,8516995
2018-03-26,5.1900,5.3600,5.0400,5.3300,10442499
2018-03-23,5.3100,5.3500,5.0600,5.1100,12258729
2018-03-22,5.1600,5.5450,5.1100,5.2800,19026665
2018-03-21,4.7700,5.0550,4.7000,4.9000,7181162
2018-03-20,4.8900,4.9300,4.6300,4.7700,7383007
2018-03-19,5.0800,5.0800,4.7600,4.8600,10696715
2018-03-16,5.2000,5.2300,5.1000,5.1400,7243633
2018-03-15,5.2600,5.3100,5.1300,5.2100,7747317
2018-03-14,5.0100,5.2975,4.9950,5.2500,13610466
2018-03-13,5.1600,5.2100,4.9600,5.0000,8960572
2018-03-12,4.9800,5.2100,4.9700,5.1700,8977300
2018-03-09,5.0000,5.0200,4.8900,4.9800,15964432
2018-03-08,4.9900,5.0400,4.8700,4.9700,6200531
